"?column?","state","worker","percentile_cont"
"070422","AK","Deli Associate",12.5
"070422","AL","Baker",9.47
"070422","AL","Bakery Assistant",11.65
"070422","AL","Bakery Clerk",15.96
"070422","AL","Bakery Manager",8
"070422","AL","Cake Decorator",9.83
"070422","AL","Deli Associate",12.64
"070422","AL","Deli Manager",25000
"070422","AL","Food Manager",33500
"070422","AL","Food Preparation Worker",9.65
"070422","AL","Food Service Associate",10.61
"070422","AL","Host/Cashier",11.43
"070422","AL","Host/Hostess",11.3
"070422","AL","Server",12.83
"070422","AR","Baker",10.5
"070422","AR","Bakery Assistant",24390
"070422","AR","Bakery Clerk",20000
"070422","AR","Bakery Manager",32000
"070422","AR","Cake Decorator",22871
"070422","AR","Catering Assistant",10
"070422","AR","Cook",14
"070422","AR","Cook/Server",14
"070422","AR","Deli Associate",27000
"070422","AR","Director of Food and Beverage",79382
"070422","AR","Floor Manager",17
"070422","AR","Food and Beverage Manager",18.44
"070422","AR","Food Service Associate",11.68
"070422","AR","Host/Cashier",9.64
"070422","AR","Host/Hostess",11.5
"070422","AZ","Baker",11.3
"070422","AZ","Bakery Assistant",16.41
"070422","AZ","Bakery Clerk",20445
"070422","AZ","Cake Decorator",14.39
"070422","AZ","Deli Associate",10.96
"070422","AZ","Deli Manager",15
"070422","AZ","Fast Food Attendant",11
"070422","AZ","Floor Manager",27000
"070422","AZ","Food Manager",12
"070422","AZ","Food Service Associate",12.67
"070422","AZ","General Assistant",20
"070422","AZ","Host/Cashier",11.46
"070422","AZ","Host/Hostess",14.75
"070422","AZ","Night Team Member",11.98
"070422","AZ","Produce Clerk",23000
"070422","CA","Back of House Team Member",11
"070422","CA","Baker",9.34
"070422","CA","Bakery Assistant",13.93
"070422","CA","Bakery Clerk",11.85
"070422","CA","Bakery Manager",30000
"070422","CA","Cake Decorator",13.35
"070422","CA","Cook/Dishwasher",17
"070422","CA","Deli Associate",12.65
"070422","CA","Dishwasher",18.5
"070422","CA","Floor Manager",90000
"070422","CA","Food Manager",14
"070422","CA","Food Service Associate",12.1
"070422","CA","Food Service Worker",13.5
"070422","CA","Front of House Team Member",15
"070422","CA","Host/Cashier",12.71
"070422","CO","Baker",12.9
"070422","CO","Bakery Assistant",13.81
"070422","CO","Bakery Manager",15.3
"070422","CO","Cake Decorator",13.26
"070422","CO","Deli Associate",13.09
"070422","CO","Food Service Associate",16.43
"070422","CO","Host/Cashier",12.5
"070422","CO","Host/Hostess",10
"070422","CO","Night Manager",18.74
"070422","CO","Produce Clerk",20000
"070422","CT","Bakery Assistant",14.29
"070422","CT","Cake Decorator",19.78
"070422","CT","Deli Associate",13.64
"070422","CT","Food Manager",12.5
"070422","CT","Host/Cashier",13.01
"070422","CT","Host/Hostess",14.18
"070422","DC","Deli Associate",13
"070422","DC","Host/Hostess",20000
"070422","DE","Bakery Assistant",11
"070422","DE","Deli Associate",18000
"070422","DE","Host/Hostess",11.96
