"?column?","state","worker","percentile_cont"
"112317","AK","CAP Team Associate",11.78
"112317","AK","Cashier",10.87
"112317","AK","Customer Service Associate / Cashier",10.66
"112317","AK","Customer Service Manager",11.74
"112317","AK","Customer Service Representative",11.01
"112317","AK","Department Manager",12.21
"112317","AK","Electronics Associate",12
"112317","AK","Pharmacy Technician",14.11
"112317","AK","Photo Technician",10.5
"112317","AK","Replenishment Associate",11.14
"112317","AK","Sales Associate",11.25
"112317","AK","Stocker",13.78
"112317","AK","Unloader",10.96
"112317","AL","Automotive Technician",10.86
"112317","AL","Cashier",8.87
"112317","AL","Cashier/Sales",8.69
"112317","AL","Courtesy Associate",8.64
"112317","AL","Customer Service Associate / Cashier",8.87
"112317","AL","Customer Service Manager",11.13
"112317","AL","Customer Service Representative",9.35
"112317","AL","Customer Service Supervisor",10.66
"112317","AL","Forklift Operator",13.16
"112317","AL","Greeter",8.69
"112317","AL","IMS Associate",8.9
"112317","AL","Lube Technician",8.88
"112317","AL","Maintenance Associate",9.43
"112317","AL","Maintenance Person",9.8
"112317","AL","Order Filler",16.08
"112317","AL","Replenishment Associate",9.47
"112317","AL","Retail Sales Associate",9.41
"112317","AL","Sales Associate",9.09
"112317","AL","Sales Representative",9.12
"112317","AL","Salesperson",8.05
"112317","AL","Service Technician",10.02
"112317","AL","Stocker",9.49
"112317","AL","Unloader",8.86
"112317","AR","Assistant Manager",44976
"112317","AR","Call Center Representative",11.82
"112317","AR","Cashier",8.76
"112317","AR","Cashier/Sales",8.62
"112317","AR","Customer Service Associate / Cashier",9.06
"112317","AR","Customer Service Manager",11.25
"112317","AR","Customer Service Representative",9.21
"112317","AR","Director",130902
"112317","AR","Field Supervisor",36158
"112317","AR","Manager",55443
"112317","AR","Market Manager",163080
"112317","AR","Plan Manager",62315
"112317","AR","Programmer Analyst",68457
"112317","AR","Replenishment Associate",9.47
"112317","AR","Retail Sales Associate",9.05
"112317","AR","Sales Associate",8.98
"112317","AR","Sales Representative",8.7
"112317","AR","Senior Customer Support Representative",11.74
"112317","AR","Senior Manager",102714
"112317","AR","Senior Programmer Analyst",80840
"112317","AR","Senior Sales Specialist",12.85
"112317","AR","Senior Software Engineer",89020
"112317","AR","Software Engineer",71744
"112317","AR","Technical Lead",78641
"112317","AR","Technical Support Supervisor",11.54
"112317","AZ","Assistant Manager",40074
"112317","AZ","Cashier",9.09
"112317","AZ","Co-manager",64320
"112317","AZ","Courtesy Associate",8.82
"112317","AZ","Customer Service Associate / Cashier",9.28
"112317","AZ","Customer Service Manager",11.16
"112317","AZ","Customer Service Representative",9.74
"112317","AZ","Customer Service Supervisor",11.59
"112317","AZ","Deli Associate",10.24
"112317","AZ","Greeter",8.98
"112317","AZ","IMS Associate",9.1
"112317","AZ","Manager",37588
"112317","AZ","Order Filler",17.88
"112317","AZ","Replenishment Associate",9.9
"112317","AZ","Retail Sales Associate",9.55
"112317","AZ","Sales Associate",9.26
"112317","AZ","Sales Representative",10.12
"112317","AZ","Salesperson",8.33
"112317","AZ","Stocker",9.37
"112317","AZ","Supervisor",11.64
"112317","AZ","Team Leader",31769
"112317","AZ","Unloader",9.49
"112317","AZ","Warehouse Worker",10.59
"112317","CA","Cashier",9.68
"112317","CA","Cashier/Sales",9.67
"112317","CA","Courtesy Associate",9.26
"112317","CA","Customer Service Associate / Cashier",10.57
"112317","CA","Customer Service Manager",12.14
"112317","CA","Customer Service Representative",10.34
"112317","CA","Customer Service Supervisor",11.61
"112317","CA","Front End Developer",120318
"112317","CA","Greeter",10.01
"112317","CA","Material Handler",13.43
"112317","CA","Order Filler",14.61
"112317","CA","Plan Manager",133650
"112317","CA","Principal Software Engineer",177135
"112317","CA","Replenishment Associate",10.54
"112317","CA","Retail Sales Associate",10.04
"112317","CA","Sales Associate",9.91
"112317","CA","Sales Representative",9.93
"112317","CA","Salesperson",10.09
"112317","CA","Senior Software Engineer",128757
"112317","CA","Software Engineer",149360
"112317","CA","Software Test Engineer",118263
"112317","CA","Stocker",10.44
"112317","CA","Unloader",10.27
"112317","CA","Vendor Manager",94771
"112317","CA","Warehouse Worker",12.95
"112317","CO","Assistant Manager",46946
"112317","CO","Cashier",9.84
"112317","CO","Co-manager",67813
"112317","CO","Courtesy Associate",8.91
"112317","CO","Customer Service Associate / Cashier",9.53
"112317","CO","Customer Service Manager",12.19
"112317","CO","Customer Service Representative",10.56
"112317","CO","Customer Service Supervisor",10.58
"112317","CO","Deli Associate",10.23
"112317","CO","Department Manager",12.64
"112317","CO","Greeter",9.79
"112317","CO","IMS Associate",10.16
"112317","CO","Manager",34917
"112317","CO","Order Filler",19.26
"112317","CO","Overnight Manager",38155
"112317","CO","Replenishment Associate",10.94
"112317","CO","Retail Sales Associate",10
"112317","CO","Sales Associate",9.65
"112317","CO","Sales Representative",9.89
"112317","CO","Stocker",10.44
"112317","CO","Supervisor",25524
"112317","CO","Unloader",10.58
"112317","CO","Warehouse Worker",30059
"112317","CT","Assistant Manager",44299
"112317","CT","Cashier",9.63
"112317","CT","Cashier/Sales",9.89
"112317","CT","Courtesy Associate",9.58
"112317","CT","Customer Service Associate / Cashier",10.04
"112317","CT","Customer Service Manager",12.87
"112317","CT","Customer Service Representative",10.41
"112317","CT","Greeter",9.38
"112317","CT","IMS Associate",10.19
"112317","CT","Inventory Associate",9.51
"112317","CT","Manager",59142
"112317","CT","Overnight Manager",38420
